Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:2UDARQiksl207HcSduDpov,85de7566158f440eab6db0a28c89d0fb,2024-10-08T03:35:55Z,0,Country genre is changing and I’m here for it,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:39QGmbxBiOxLRs76O9Wzy4,85de7566158f440eab6db0a28c89d0fb,2024-10-08T03:35:55Z,-1,Good song but commissioner Sruj made me downvote a song,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3uY2ofAOXikujtpodDaNQA,85de7566158f440eab6db0a28c89d0fb,2024-10-08T03:35:55Z,0,I like this song but wish it was the version with the lyrics,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3YgtkOxZsTuaZdL8McA1FQ,85de7566158f440eab6db0a28c89d0fb,2024-10-08T03:35:55Z,1,I adore all of you 😉,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:403SdJ62eNPjNc94vJQJOu,85de7566158f440eab6db0a28c89d0fb,2024-10-08T03:35:55Z,1,Fun pick,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:59xEHW3Oy9ERJSxpJ4YsWz,85de7566158f440eab6db0a28c89d0fb,2024-10-08T03:35:55Z,2,This one got stuck in my head,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7221xIgOnuakPdLqT0F3nP,85de7566158f440eab6db0a28c89d0fb,2024-10-08T03:35:55Z,1,This song is probably gonna be on my top played for my Spotify wrapped,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:73c7iqH4lCVqu4tm66i0tY,85de7566158f440eab6db0a28c89d0fb,2024-10-08T03:35:55Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7JgNAnCjJvL8hBR1kmCOFF,85de7566158f440eab6db0a28c89d0fb,2024-10-08T03:35:55Z,1,Makes me want to🕺,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,0,hadn't heard this one but it's great!! and yeah this is way better than her most recent album,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:73c7iqH4lCVqu4tm66i0tY,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,0,the plucky guitars scratched my brain... thank u (it's a good thing),2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7221xIgOnuakPdLqT0F3nP,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,2,i'm so in on country posty and i won't get off that train,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:6FNpgPgWAxrtH6uYwDAOmU,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,1,do it funk? it do,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:59xEHW3Oy9ERJSxpJ4YsWz,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,0,issa bop! getting major kacey musgraves-esque pop on this,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3YgtkOxZsTuaZdL8McA1FQ,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,0,... and I adore u 3,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:403SdJ62eNPjNc94vJQJOu,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,1,i get more 11:30am walking to cafe in NYC type beat but I like the vibe regardless,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:50JA0gkxCF8XBGu2tTcLwO,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,0,it's got that summer sheen! it also feels like the ending credits to a rom-com about high school. idk how I feel about that,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:0wJw5QXDKXTYn8IVyh3wqz,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,2,"great song, great album, barring corny ass lines like:

""Uh, the definition of possession /
The STATE of being completely under the INfluEnce of an Idea or emotTION"" (Mumble Rap)",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:1IO1rTavb3LReZH7KZBLse,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,1,"i felt 14 again listening to this song, and i love that.. would highly recommend the album ""Elevator"" by Hot Hot Heat",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2bl81llf715VEEbAx03yvB,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,-1,"i did a random number generator and this was the song that gets the downvote, i'm sorry :(

certainly fun tho!! nice synths on this one",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2UDARQiksl207HcSduDpov,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,0,I just couldn't get into (most of) this album... I gave it like six or seven full listens (to give Queen B the benefit of the doubt) and even then I'm not hitting it. This is one of the better songs tho,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:39QGmbxBiOxLRs76O9Wzy4,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,1,my ass wiggled a lil to this one.... nice work,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3uY2ofAOXikujtpodDaNQA,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,2,confirmed tapping my hand on the side of the car -- appreciate the instrumental!,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7JgNAnCjJvL8hBR1kmCOFF,642e2be0332b4fdfb5cd3c31ae794f62,2024-10-08T16:05:42Z,2,"i've fucked with this song once, and i'll fuck with this song again",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:39QGmbxBiOxLRs76O9Wzy4,ed99ad3ac5e8411092dfa37b02060bd6,2024-10-09T14:51:30Z,-1,Did not think this song represented summer vibes,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,ed99ad3ac5e8411092dfa37b02060bd6,2024-10-09T14:51:30Z,2,Dua FTW,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:6FNpgPgWAxrtH6uYwDAOmU,ed99ad3ac5e8411092dfa37b02060bd6,2024-10-09T14:51:30Z,3,Anything Empire of the Sun = summer bop,2be216f7413f4f7bae842351b9ab7fd3
